timestamp	phase	decision	why	evidence	result
2026-09-04T10:05:25Z	review	Add projection lifetime and stale deletion as required downstream gates	The shared HandlerRuntime is shut down when one source loses its last subscriber, which drops unrelated projections	myko-app ErasedHandlerSubscription::shutdown; Forrest focused tests	NOT VERIFIED
2026-09-04T10:16:40Z	architecture	Selected retained Myko 6 runtime ownership with focused federation, items, and wire crates	cross-model comparison favored one mature runtime without turning myko into a new god crate	docs/superpowers/specs/2026-09-04-myko-7-collapse-into-retained-v6-ownership.md; /tmp/myko7-collapse-architect/judge.md	VERIFIED
2026-09-04T10:16:40Z	verifier	Replaced the Myko 7 convergence checker with the retained-runtime collapse checker	the old checker rewarded implementations that the final architecture must delete	scripts/check-myko-collapse.sh	NOT VERIFIED: baseline has 20 expected architecture failures
2026-09-04T10:18:28Z	item-projection	Stored typed item IDs inside ItemProjection	identity should be erased only at durable and transport boundaries	libs/myko/items/src/lib.rs; cargo test -p myko-items --target-dir target/agent	VERIFIED: 7 tests passed
2026-09-04T10:25:04Z	handler-lifetime	Made handler subscription shutdown release only that subscription	the node owns the shared projection runtime; a source cannot invalidate sibling sources	libs/myko/app/src/lib.rs; tests::shutting_down_one_handler_keeps_other_sources_live; focused Forrest tests	PARTIAL: local and focused Forrest tests pass; full Forrest suite remains 7/10
2026-09-04T10:48:29Z	authoring	Rehomed typed service, item, scope, query, report, view, and command ownership metadata in retained myko inventories	Application activation must filter the mature retained registry rather than construct a second handler catalog	libs/myko/core/src/application.rs; libs/myko/macros/src/{service,item,query,report,view,command}.rs; cargo test -p myko federated_authoring_tests --target-dir target/agent	PARTIAL: retained authoring and activation tests pass; v7 handler callers are not migrated yet
2026-09-04T11:21:53Z	reactive-source	Route durable query, view, and report registrations into one node-owned retained CellMap source	Retained Myko already owns MapQuery and Materialize; federation should only supply durable typed projections	cargo test -p myko server::federated_source::tests: 5 passed; cargo check -p myko-server passed	PARTIAL until duplicate HandlerRuntime and LiveCollection callers are deleted
2026-09-04T11:21:54Z	compatibility	Delete unversioned legacy peer restore behavior	Wire and peer compatibility are explicitly not maintained; stale fallback branches obscure the durable contract	cargo check -p myko-node passed before final unused-import cleanup; collapse checker compatibility branch check passes	VERIFIED
2026-09-04T11:25:01Z	delivery	Bound every retained server and WebSocket work queue	Commands and subscription setup need bounded lossless admission; reactive windows can fail explicitly and resnapshot	cargo check -p myko-server passed; query window FIFO test passed; collapse session checker delivery gate passes	VERIFIED
2026-09-04T11:39:06Z	request-boundary	Prepare every NodeRequest once into PreparedRequest plus AccessTarget	Routing and authorization must consume one typed interpretation rather than rematching serialized variants	preparation_derives_handler_access_once passed; collapse request checker now sees both retained types	PARTIAL until myko-session consumes PreparedEnvelope and AccessAttempt drops legacy target fields
2026-09-04T11:39:06Z	websocket-edge	Delete the unreferenced myko-websocket-gateway crate	Retained myko-server is already the WebSocket process edge and no production Cargo target referenced the duplicate gateway	cargo check -p myko-server passed; collapse duplicate gateway check passes	VERIFIED
2026-09-04T11:45:50Z	authority-boundary	Replace synthetic authority bypass with explicit trusted framework lifecycle	Internal authority commands maintain the policy they would otherwise re-enter; privilege must be attached to the in-process call path, never inferred from request fields	Graph traced the sole bypass caller plus submit/continuation/effect authorization; all 14 myko-authority tests pass after trusted submit, dispatch, and commit	VERIFIED: external commands still traverse policy; four framework-owned authority writes use the explicit trusted path; checker marks synthetic bypass deleted
2026-09-04T11:57:08Z	request-boundary	Replace the optional authorization bag with one federation-owned AccessTarget	AccessPolicy is defined in myko-federation, so the target must live at that dependency floor; retained PreparedRequest derives it once and downstream attempts carry it unchanged	Focused retained preparation and session target tests pass; all 14 authority tests pass; myko-federation, session, authority, and iroh compile	VERIFIED: AccessAttempt no longer has optional service/scope/command/handler/topic fields; repeated access_metadata and normalized_claims paths are deleted
2026-09-04T12:07:42Z	client-runtime	Delete myko-runtime and transport-specific ApplicationClient owners	Graph and source search found no production consumers outside the duplicate local/Iroh aliases and node wrapper; retained MykoClient remains the sole application client	No myko-runtime or ApplicationClient identifiers remain in Cargo/workspace sources; local, Iroh, and node all-target checks pass	VERIFIED: duplicate client crate and aliases deleted; runtime-specific tests removed pending equivalent retained MykoClient connector coverage
2026-09-04T12:12:37Z	session-runtime	Relocate federation request execution into retained myko::server::FederatedSession and delete standalone myko-session	Retained ClientSession/server must own request routing and bounded delivery	six relocated federated_session tests passed; affected all-target checks passed; checker session gates green	VERIFIED
2026-09-04T14:39:25Z	client-runtime	Adapt local, Iroh, and embedded handler streams behind retained MykoClient	Transport choice should not recreate application clients; one typed subscription owner validates revisions and drives reactive state	core durable-handler unit tests; all 7 local tests; local/Iroh/node all-target checks	VERIFIED
2026-09-04T14:39:25Z	query-authority	Derive query source, scope, claims, and capabilities from retained typed query registration	Federated queries need the same parameter-bound authorization as retained views and reports	local handler connector query and authority-presentation tests	VERIFIED
2026-09-04T14:39:25Z	command-registration	Register item and service-owned macro commands with durable executors	Retained application activation must execute generated durable commands rather than keep metadata-only handlers	item_owned_macro_commands_keep_the_durable_executor	VERIFIED
2026-09-04T14:39:26Z	node-routing	Resolve application and command clients by durable NodeId inside myko-node	Applications should not see the private NodeId-to-EndpointAddr roster or silently execute remote work locally	myko-node all-target check; Forrest routed mobile tests pending	PARTIAL
2026-09-04T15:32:30Z	nested-federation-routing	Derive every nested child route from the child request while retaining only the parent federation marker	A nested view may change source scope; reusing the parent scope watches the wrong durable projection while dropping the marker falls back to local state	nested_views_preserve_the_federated_source_request; cargo test -p myko --lib; cargo test -p myko --all-features --lib	VERIFIED: child query, view, and report routes preserve federation and derive their own source and scope
2026-09-04T15:32:30Z	application-policy	Retain a strong access-policy owner in ApplicationHost	The federation node intentionally stores a weak reference; the application host must keep the policy alive for embedded command and handler lifetimes	item_owned_macro_commands_keep_the_durable_executor; full retained core suites; Forrest local application tests	VERIFIED: authorized embedded commands remain served for the host lifetime
2026-09-04T15:32:31Z	architecture-final	Collapse duplicate Myko 7 runtime owners into retained Myko 6 owners without wire compatibility	The retained runtime already owns mature application, session, client, reactive, and WebSocket behavior; durable federation, authority, and node semantics compose behind those boundaries	scripts/check-myko-collapse.sh final; refreshed codebase graph; direct workspace and Cargo checks	VERIFIED: all final architecture assertions pass and deleted duplicate crates have no workspace references
2026-09-04T15:32:31Z	myko-gates	Validate retained and focused crates after convergence	Narrow tests cannot prove generated bindings, adapters, strict lint, or cross-crate lifecycle behavior	207 default core tests; 257 all-feature core tests; 31 Iroh, 7 local, 17 node tests; cargo flux run gen/check/lint/test; both strict Clippy partitions	VERIFIED: every Myko repository gate passes; generated bindings exported 112 types with zero failures
2026-09-04T16:32:11Z	wire-break	Delete compatibility wire, scope, peer, and cursor behavior	The operator explicitly excluded wire compatibility, so old aliases and fallback equivalence would preserve the duplicated design	canonical scope rejection tests; versioned NativeNodeDescriptor; required ReplicationSelection; versioned all cursor key; collapse checker	VERIFIED: legacy scope decoding, raw endpoint restore, aliases, and unversioned cursor behavior are absent
2026-09-04T16:32:11Z	durable-backpressure	Bound durable replay, export, live delivery, disconnected sends, reports, and scope control paths	Durable/control work must be lossless without allowing a slow or reconnecting consumer to grow memory without limit	73 federation tests including 1024-event paging/backpressure/handoff; MykoClient admission regression; indexed latest position and scope pages; strict Clippy; collapse checker	VERIFIED: durable pages and channels are bounded, live handoff is gap-free, and remote scope pagination uses an index
2026-09-04T16:32:11Z	review-resolution	Resolve every independent convergence-review finding	The final architecture claim requires adversarial verification against the exact dirty worktree, not only author tests	independent gpt-5.5 review iterations; exact source reads; focused regressions; final B1-B14 pass	VERIFIED: no remaining material B1-B14 findings
2026-09-04T16:32:11Z	final-gates	Validate the converged Myko and Forrest trees at their final source fingerprints	Generated bindings, workspace adapters, strict lints, and downstream consumers must agree at one revision	cargo flux run gen/check/lint/test; 258 all-feature core tests; 73 federation tests; strict Clippy; architecture checker; graph generation 2026-09-04T16:31:00Z; Forrest workspace test/clippy pending final fingerprint confirmation	PARTIAL: every Myko gate passes; awaiting the sibling final Forrest fingerprint-bound rerun
2026-09-04T16:40:31Z	final-gates	Validate the converged Myko and Forrest trees at the final stable Myko source hash	Generated bindings, workspace adapters, strict lints, and downstream consumers must agree against one unchanged source snapshot	Myko: cargo flux gen/check/lint/test; 258 all-feature core tests; 73 federation tests; focused Iroh 31, local 7, node 17, redb 5; both strict Clippy partitions; collapse checker; graph generation 2026-09-04T16:31:00Z. Forrest at Myko source hash a569851d42d01310b10bd5ec769046024959a18a724b986aaa6f56856d098035 before/after: cargo fmt check; cargo test --workspace; cargo clippy --workspace --all-targets -D warnings; git diff --check; tool architecture checker; exact restart/transport-key/peer-replication test	VERIFIED: every Myko and Forrest gate passes against the unchanged final Myko source snapshot
2026-09-04T17:44:35Z	modularity-final	Split the remaining federation, Iroh, authority, and local roots after deleting duplicate runtime owners	The retained-owner collapse is incomplete if focused domain crates remain greenfield monoliths or authority policy stays one high-complexity function	Root line counts 98/98/71/62; authority evaluate complexity 3 and cognitive complexity 5; 73 federation, 31 Iroh, and 15 authority tests; strict focused Clippy; collapse checker	VERIFIED: B1 and B8 are resolved without reintroducing application, session, client, or wire compatibility owners
2026-09-04T17:44:35Z	final-gates	Bind the final B1-B14 result to the post-modularity source snapshot	The last structural edits require fresh upstream and real-consumer evidence rather than inheriting an earlier green hash	Myko source fingerprint ce1d48c25f6d894a807ec2eb24b5582320bd8c2515e418384ff64b96efef4d5d before and after Forrest; graph generation 2026-09-04T17:27:18Z; cargo flux gen/check/lint/test; 258 all-feature core tests; both strict Clippy partitions; collapse checker. Forrest cargo fmt check, workspace tests, workspace all-target strict Clippy, diff check, architecture checker, focused projection/deletion regressions, and mesh-node restart/transport-key/peer-replication regression	VERIFIED: B1-B14 and every Myko and Forrest gate pass; one initial authority-convergence run was not reproducible and the exact plus second workspace runs passed
